codigo_material_recibido,cantidad_actual
0RH4701C422-2512160113,5000
0RH4701C422-2512160112,5000
0RH4701C422-2512160111,5000
0RH4701C422-2512160110,5000
0RH4701C422-2512160109,5000
0RH4701C422-2512160108,5000
0RH4701C422-2512160107,5000
0RH4701C422-2512160106,5000
0RH4701C422-2512160105,5000
0RH4701C422-2512160104,5000
0RH4701C422-2512160103,5000
0RH4701C422-2512160102,5000
0RH4701C422-2512160101,5000
0RH4701C422-2512160100,5000
0RH4701C422-2512160099,5000
0RH4701C422-2512160098,5000
0RH4701C422-2512160097,5000
0RH4701C422-2512160096,5000
0RH4701C422-2512160095,5000
0RH4701C422-2512160094,5000
0RH4701C422-2512160093,5000
0RH4701C422-2512160092,5000
0RH4701C422-2512160091,5000
0RH4701C422-2512160090,5000
0RH4701C422-2512160089,5000
0RH4701C422-2512160088,5000
0RH4701C422-2512160087,5000
0RH4701C422-2512160086,5000
0RH4701C422-2512160085,5000
0RH4701C422-2512160084,5000
0RH4701C422-2512160083,5000
0RH4701C422-2512160082,5000
0RH4701C422-2512160081,5000
0RH4701C422-2512160080,5000
0RH4701C422-2512160079,5000
0RH4701C422-2512160078,5000
0RH4701C422-2512160077,5000
0RH4701C422-2512160076,5000
0RH4701C422-2512160075,5000
0RH4701C422-2512160074,5000
0RH4701C422-2512160073,5000
0RH4701C422-2512160072,5000
0RH4701C422-2512160071,5000
0RH4701C422-2512160070,5000
0RH4701C422-2512160069,5000
0RH4701C422-2512160068,5000
0RH4701C422-2512160067,5000
0RH4701C422-2512160066,5000
0RH4701C422-2512160065,5000
0RH4701C422-2512160064,5000
0RH4701C422-2512160063,5000
0RH4701C422-2512160062,5000
0RH4701C422-2512160061,5000
0RH4701C422-2512160060,5000
0RH4701C422-2512160059,5000
0RH4701C422-2512160058,5000
0RH4701C422-2512160057,5000
0RH4701C422-2512160056,5000
0RH4701C422-2512160055,5000
0RH4701C422-2512160054,5000
0RH4701C422-2512160053,5000
0RH4701C422-2512160052,5000
0RH4701C422-2512160051,5000
0RH4701C422-2512160050,5000
0RH4701C422-2512160049,5000
0RH4701C422-2512160048,5000
0RH4701C422-2512160047,5000
0RH4701C422-2512160046,5000
0RH4701C422-2512160045,5000
0RH4701C422-2512160044,5000
0RH4701C422-2512160043,5000
0RH4701C422-2512160042,5000
0RH4701C422-2512160041,5000
0RH4701C422-2512160040,5000
0RH4701C422-2512160039,5000
0RH4701C422-2512160038,5000
0RH4701C422-2512160037,5000
0RH4701C422-2512160036,5000
0RH4701C422-2512160035,5000
0RH4701C422-2512160034,5000
0RH4701C422-2512160033,5000
0RH4701C422-2512160032,5000
0RH4701C422-2512160031,5000
0RH4701C422-2512160030,5000
0RH4701C422-2512160029,5000
0RH4701C422-2512160028,5000
0RH4701C422-2512160027,5000
0RH4701C422-2512160026,5000
0RH4701C422-2512160025,5000
0RH4701C422-2512160024,5000
0RH4701C422-2512160023,5000
0RH4701C422-2512160022,5000
0RH4701C422-2512160021,5000
0RH4701C422-2512160020,5000
0RH4701C422-2512160019,5000
0RH4701C422-2512160018,5000
0RH4701C422-2512160017,5000
0RH4701C422-2512160016,5000
0RH4701C422-2512160015,5000
0RH4701C422-2512160014,5000
0RH4701C422-2512160013,5000
0RH4701C422-2512160012,5000
0RH4701C422-2512160011,5000
0RH4701C422-2512160010,5000
0RH4701C422-2512160009,5000
0RH4701C422-2512160008,5000
0RH4701C422-2512160007,5000
0RH4701C422-2512160006,5000
0RH4701C422-2512160005,5000
0RH4701C422-2512160004,5000
0RH4701C422-2512160003,5000
0RH4701C422-2512160002,5000
0RH4701C422-2512160001,5000
0RH4701C422-2512150040,5000
0RH4701C422-2512150300,5000
0RH4701C422-2512150299,5000
0RH4701C422-2512150298,5000
0RH4701C422-2512150297,5000
0RH4701C422-2512150296,5000
0RH4701C422-2512150295,5000
0RH4701C422-2512150294,5000
0RH4701C422-2512150293,5000
0RH4701C422-2512150292,5000
0RH4701C422-2512150291,5000
0RH4701C422-2512150290,5000
0RH4701C422-2512150289,5000
0RH4701C422-2512150288,5000
0RH4701C422-2512150287,5000
0RH4701C422-2512150286,5000
0RH4701C422-2512150285,5000
0RH4701C422-2512150283,5000
0RH4701C422-2512150284,5000
0RH4701C422-2512150282,5000
0RH4701C422-2512150281,5000
0RH4701C422-2512150280,5000
0RH4701C422-2512150279,5000
0RH4701C422-2512150278,5000
0RH4701C422-2512150277,5000
0RH4701C422-2512150276,5000
0RH4701C422-2512150275,5000
0RH4701C422-2512150274,5000
0RH4701C422-2512150273,5000
0RH4701C422-2512150272,5000
0RH4701C422-2512150271,5000
0RH4701C422-2512150270,5000
0RH4701C422-2512150269,5000
0RH4701C422-2512150268,5000
0RH4701C422-2512150267,5000
0RH4701C422-2512150266,5000
0RH4701C422-2512150265,5000
0RH4701C422-2512150264,5000
0RH4701C422-2512150263,5000
0RH4701C422-2512150262,5000
0RH4701C422-2512150261,5000
0RH4701C422-2512150260,5000
0RH4701C422-2512150259,5000
0RH4701C422-2512150258,5000
0RH4701C422-2512150257,5000
0RH4701C422-2512150256,5000
0RH4701C422-2512150255,5000
0RH4701C422-2512150254,5000
0RH4701C422-2512150253,5000
0RH4701C422-2512150252,5000
0RH4701C422-2512150251,5000
0RH4701C422-2512150250,5000
0RH4701C422-2512150248,5000
0RH4701C422-2512150249,5000
0RH4701C422-2512150247,5000
0RH4701C422-2512150246,5000
0RH4701C422-2512150245,5000
0RH4701C422-2512150244,5000
0RH4701C422-2512150243,5000
0RH4701C422-2512150242,5000
0RH4701C422-2512150241,5000
0RH4701C422-2512150240,5000
0RH4701C422-2512150239,5000
0RH4701C422-2512150238,5000
0RH4701C422-2512150237,5000
0RH4701C422-2512150236,5000
0RH4701C422-2512150235,5000
0RH4701C422-2512150234,5000
0RH4701C422-2512150233,5000
0RH4701C422-2512150232,5000
0RH4701C422-2512150231,5000
0RH4701C422-2512150230,5000
0RH4701C422-2512150229,5000
0RH4701C422-2512150228,5000
0RH4701C422-2512150227,5000
0RH4701C422-2512150226,5000
0RH4701C422-2512150225,5000
0RH4701C422-2512150224,5000
0RH4701C422-2512150223,5000
0RH4701C422-2512150222,5000
0RH4701C422-2512150221,5000
0RH4701C422-2512150220,5000
0RH4701C422-2512150219,5000
0RH4701C422-2512150218,5000
0RH4701C422-2512150217,5000
0RH4701C422-2512150216,5000
0RH4701C422-2512150215,5000
0RH4701C422-2512150214,5000
0RH4701C422-2512150213,5000
0RH4701C422-2512150212,5000
0RH4701C422-2512150211,5000
0RH4701C422-2512150210,5000
0RH4701C422-2512150209,5000
0RH4701C422-2512150208,5000
0RH4701C422-2512150207,5000
0RH4701C422-2512150206,5000
0RH4701C422-2512150205,5000
0RH4701C422-2512150204,5000
0RH4701C422-2512150203,5000
0RH4701C422-2512150202,5000
0RH4701C422-2512150201,5000
0RH4701C422-2512150200,5000
0RH4701C422-2512150199,5000
0RH4701C422-2512150198,5000
0RH4701C422-2512150197,5000
0RH4701C422-2512150196,5000
0RH4701C422-2512150195,5000
0RH4701C422-2512150194,5000
0RH4701C422-2512150193,5000
0RH4701C422-2512150192,5000
0RH4701C422-2512150191,5000
0RH4701C422-2512150190,5000
0RH4701C422-2512150189,5000
0RH4701C422-2512150188,5000
0RH4701C422-2512150187,5000
0RH4701C422-2512150186,5000
0RH4701C422-2512150185,5000
0RH4701C422-2512150184,5000
0RH4701C422-2512150183,5000
0RH4701C422-2512150182,5000
0RH4701C422-2512150129,5000
0RH4701C422-2512150179,5000
0RH4701C422-2512150180,5000
0RH4701C422-2512150181,5000
0RH4701C422-2512150178,5000
0RH4701C422-2512150177,5000
0RH4701C422-2512150176,5000
0RH4701C422-2512150175,5000
0RH4701C422-2512150174,5000
0RH4701C422-2512150173,5000
0RH4701C422-2512150172,5000
0RH4701C422-2512150171,5000
0RH4701C422-2512150170,5000
0RH4701C422-2512150169,5000
0RH4701C422-2512150168,5000
0RH4701C422-2512150167,5000
0RH4701C422-2512150166,5000
0RH4701C422-2512150165,5000
0RH4701C422-2512150164,5000
0RH4701C422-2512150163,5000
0RH4701C422-2512150162,5000
0RH4701C422-2512150161,5000
0RH4701C422-2512150160,5000
0RH4701C422-2512150159,5000
0RH4701C422-2512150158,5000
0RH4701C422-2512150157,5000
0RH4701C422-2512150155,5000
0RH4701C422-2512150156,5000
0RH4701C422-2512150154,5000
0RH4701C422-2512150153,5000
0RH4701C422-2512150152,5000
0RH4701C422-2512150151,5000
0RH4701C422-2512150150,5000
0RH4701C422-2512150149,5000
0RH4701C422-2512150148,5000
0RH4701C422-2512150147,5000
0RH4701C422-2512150146,5000
0RH4701C422-2512150145,5000
0RH4701C422-2512150144,5000
0RH4701C422-2512150143,5000
0RH4701C422-2512150142,5000
0RH4701C422-2512150141,5000
0RH4701C422-2512150140,5000
0RH4701C422-2512150139,5000
0RH4701C422-2512150138,5000
0RH4701C422-2512150137,5000
0RH4701C422-2512150136,5000
0RH4701C422-2512150135,5000
0RH4701C422-2512150134,5000
0RH4701C422-2512150133,5000
0RH4701C422-2512150132,5000
0RH4701C422-2512150131,5000
0RH4701C422-2512150130,5000
0RH4701C422-2512150128,5000
0RH4701C422-2512150127,5000
0RH4701C422-2512150126,5000
0RH4701C422-2512150125,5000
0RH4701C422-2512150124,5000
0RH4701C422-2512150123,5000
0RH4701C422-2512150122,5000
0RH4701C422-2512150121,5000
0RH4701C422-2512150120,5000
0RH4701C422-2512150119,5000
0RH4701C422-2512150118,5000
0RH4701C422-2512150117,5000
0RH4701C422-2512150116,5000
0RH4701C422-2512150115,5000
0RH4701C422-2512150114,5000
0RH4701C422-2512150113,5000
0RH4701C422-2512150112,5000
0RH4701C422-2512150111,5000
0RH4701C422-2512150110,5000
0RH4701C422-2512150109,5000
0RH4701C422-2512150108,5000
0RH4701C422-2512150107,5000
0RH4701C422-2512150106,5000
0RH4701C422-2512150105,5000
0RH4701C422-2512150103,5000
0RH4701C422-2512150104,5000
0RH4701C422-2512150102,5000
0RH4701C422-2512150101,5000
0RH4701C422-2512150100,5000
0RH4701C422-2512150099,5000
0RH4701C422-2512150098,5000
0RH4701C422-2512150097,5000
0RH4701C422-2512150096,5000
0RH4701C422-2512150095,5000
0RH4701C422-2512150094,5000
0RH4701C422-2512150093,5000
0RH4701C422-2512150092,5000
0RH4701C422-2512150091,5000
0RH4701C422-2512150090,5000
0RH4701C422-2512150089,5000
0RH4701C422-2512150088,5000
0RH4701C422-2512150087,5000
0RH4701C422-2512150086,5000
0RH4701C422-2512150085,5000
0RH4701C422-2512150084,5000
0RH4701C422-2512150083,5000
0RH4701C422-2512150082,5000
0RH4701C422-2512150081,5000
0RH4701C422-2512150080,5000
0RH4701C422-2512150079,5000
0RH4701C422-2512150078,5000
0RH4701C422-2512150077,5000
0RH4701C422-2512150076,5000
0RH4701C422-2512150075,5000
0RH4701C422-2512150074,5000
0RH4701C422-2512150073,5000
0RH4701C422-2512150072,5000
0RH4701C422-2512150071,5000
0RH4701C422-2512150070,5000
0RH4701C422-2512150069,5000
0RH4701C422-2512150068,5000
0RH4701C422-2512150067,5000
0RH4701C422-2512150066,5000
0RH4701C422-2512150065,5000
0RH4701C422-2512150064,5000
0RH4701C422-2512150063,5000
0RH4701C422-2512150062,5000
0RH4701C422-2512150061,5000
0RH4701C422-2512150060,5000
0RH4701C422-2512150059,5000
0RH4701C422-2512150058,5000
0RH4701C422-2512150057,5000
0RH4701C422-2512150056,5000
0RH4701C422-2512150055,5000
0RH4701C422-2512150054,5000
0RH4701C422-2512150053,5000
0RH4701C422-2512150052,5000
0RH4701C422-2512150051,5000
0RH4701C422-2512150050,5000
0RH4701C422-2512150049,5000
0RH4701C422-2512150048,5000
0RH4701C422-2512150047,5000
0RH4701C422-2512150046,5000
0RH4701C422-2512150045,5000
0RH4701C422-2512150043,5000
0RH4701C422-2512150044,5000
0RH4701C422-2512150042,5000
0RH4701C422-2512150041,5000
0RH4701C422-2512150039,5000
0RH4701C422-2512150038,5000
0RH4701C422-2512150037,5000
0RH4701C422-2512150036,5000
0RH4701C422-2512150035,5000
0RH4701C422-2512150034,5000
0RH4701C422-2512150033,5000
0RH4701C422-2512150032,5000
0RH4701C422-2512150031,5000
0RH4701C422-2512150030,5000
0RH4701C422-2512150029,5000
0RH4701C422-2512150028,5000
0RH4701C422-2512150027,5000
0RH4701C422-2512150026,5000
0RH4701C422-2512150025,5000
0RH4701C422-2512150024,5000
0RH4701C422-2512150023,5000
0RH4701C422-2512150022,5000
0RH4701C422-2512150021,5000
0RH4701C422-2512150020,5000
0RH4701C422-2512150019,5000
0RH4701C422-2512150018,5000
0RH4701C422-2512150017,5000
0RH4701C422-2512150016,5000
0RH4701C422-2512150015,5000
0RH4701C422-2512150014,5000
0RH4701C422-2512150013,5000
0RH4701C422-2512150012,5000
0RH4701C422-2512150011,5000
0RH4701C422-2512150010,5000
0RH4701C422-2512150009,5000
0RH4701C422-2512150008,5000
0RH4701C422-2512150007,5000
0RH4701C422-2512150006,5000
0RH4701C422-2512150005,5000
0RH4701C422-2512150004,5000
0RH4701C422-2512150003,5000
0RH4701C422-2512150002,5000
0RH4701C422-2512150001,5000
0RH4701C422-2512090320,5000
0RH4701C422-2512090319,5000
0RH4701C422-2512090318,5000
0RH4701C422-2512090317,5000
0RH4701C422-2512090316,5000
0RH4701C422-2512090315,5000
0RH4701C422-2512090314,5000
0RH4701C422-2512090313,5000
0RH4701C422-2512090312,5000
0RH4701C422-2512090311,5000
0RH4701C422-2512090310,5000
0RH4701C422-2512090309,5000
0RH4701C422-2512090308,5000
0RH4701C422-2512090307,5000
0RH4701C422-2512090306,5000
0RH4701C422-2512090305,5000
0RH4701C422-2512090304,5000
0RH4701C422-2512090303,5000
0RH4701C422-2512090302,5000
0RH4701C422-2512090301,5000
0RH4701C422-2512090300,5000
0RH4701C422-2512090299,5000
0RH4701C422-2512090298,5000
0RH4701C422-2512090297,5000
0RH4701C422-2512090296,5000
0RH4701C422-2512090295,5000
0RH4701C422-2512090294,5000
0RH4701C422-2512090293,5000
0RH4701C422-2512090292,5000
0RH4701C422-2512090291,5000
0RH4701C422-2512090290,5000
0RH4701C422-2512090289,5000
0RH4701C422-2512090288,5000
0RH4701C422-2512090287,5000
0RH4701C422-2512090286,5000
0RH4701C422-2512090285,5000
0RH4701C422-2512090284,5000
0RH4701C422-2512090283,5000
0RH4701C422-2512090282,5000
0RH4701C422-2512090281,5000
0RH4701C422-2512090280,5000
0RH4701C422-2512090279,5000
0RH4701C422-2512090278,5000
0RH4701C422-2512090277,5000
0RH4701C422-2512090276,5000
0RH4701C422-2512090275,5000
0RH4701C422-2512090274,5000
0RH4701C422-2512090273,5000
0RH4701C422-2512090272,5000
0RH4701C422-2512090271,5000
0RH4701C422-2512090270,5000
0RH4701C422-2512090269,5000
0RH4701C422-2512090268,5000
0RH4701C422-2512090267,5000
0RH4701C422-2512090266,5000
0RH4701C422-2512090265,5000
0RH4701C422-2512090264,5000
0RH4701C422-2512090263,5000
0RH4701C422-2512090262,5000
0RH4701C422-2512090261,5000
0RH4701C422-2512090260,5000
0RH4701C422-2512090259,5000
0RH4701C422-2512090258,5000
0RH4701C422-2512090257,5000
0RH4701C422-2512090256,5000
0RH4701C422-2512090255,5000
0RH4701C422-2512090254,5000
0RH4701C422-2512090253,5000
0RH4701C422-2512090252,5000
0RH4701C422-2512090251,5000
0RH4701C422-2512090250,5000
0RH4701C422-2512090249,5000
0RH4701C422-2512090248,5000
0RH4701C422-2512090247,5000
0RH4701C422-2512090246,5000
0RH4701C422-2512090245,5000
0RH4701C422-2512090244,5000
0RH4701C422-2512090243,5000
0RH4701C422-2512090242,5000
0RH4701C422-2512090241,5000
0RH4701C422-2512090240,5000
0RH4701C422-2512090239,5000
0RH4701C422-2512090238,5000
0RH4701C422-2512090237,5000
0RH4701C422-2512090236,5000
0RH4701C422-2512090235,5000
0RH4701C422-2512090234,5000
0RH4701C422-2512090233,5000
0RH4701C422-2512090232,5000
0RH4701C422-2512090231,5000
0RH4701C422-2512090230,5000
0RH4701C422-2512090229,5000
0RH4701C422-2512090228,5000
0RH4701C422-2512090227,5000
0RH4701C422-2512090226,5000
0RH4701C422-2512090225,5000
0RH4701C422-2512090224,5000
0RH4701C422-2512090223,5000
0RH4701C422-2512090222,5000
0RH4701C422-2512090221,5000
0RH4701C422-2512090220,5000
0RH4701C422-2512090219,5000
0RH4701C422-2512090218,5000
0RH4701C422-2512090217,5000
0RH4701C422-2512090216,5000
0RH4701C422-2512090215,5000
0RH4701C422-2512090214,5000
0RH4701C422-2512090213,5000
0RH4701C422-2512090212,5000
0RH4701C422-2512090211,5000
0RH4701C422-2512090210,5000
0RH4701C422-2512090209,5000
0RH4701C422-2512090208,5000
0RH4701C422-2512090207,5000
0RH4701C422-2512090206,5000
0RH4701C422-2512090205,5000
0RH4701C422-2512090204,5000
0RH4701C422-2512090203,5000
0RH4701C422-2512090202,5000
0RH4701C422-2512090201,5000
0RH4701C422-2512090200,5000
0RH4701C422-2512090199,5000
0RH4701C422-2512090198,5000
0RH4701C422-2512090197,5000
0RH4701C422-2512090196,5000
0RH4701C422-2512090195,5000
0RH4701C422-2512090194,5000
0RH4701C422-2512090193,5000
0RH4701C422-2512090192,5000
0RH4701C422-2512090191,5000
0RH4701C422-2512090190,5000
0RH4701C422-2512090189,5000
0RH4701C422-2512090188,5000
0RH4701C422-2512090187,5000
0RH4701C422-2512090186,5000
0RH4701C422-2512090185,5000
0RH4701C422-2512090184,5000
0RH4701C422-2512090183,5000
0RH4701C422-2512090182,5000
0RH4701C422-2512090181,5000
0RH4701C422-2512090180,5000
0RH4701C422-2512090179,5000
0RH4701C422-2512090178,5000
0RH4701C422-2512090177,5000
0RH4701C422-2512090176,5000
0RH4701C422-2512090175,5000
0RH4701C422-2512090174,5000
0RH4701C422-2512090173,5000
0RH4701C422-2512090172,5000
0RH4701C422-2512090171,5000
0RH4701C422-2512090170,5000
0RH4701C422-2512090169,5000
0RH4701C422-2512090168,5000
0RH4701C422-2512090167,5000
0RH4701C422-2512090166,5000
0RH4701C422-2512090165,5000
0RH4701C422-2512090164,5000
0RH4701C422-2512090163,5000
0RH4701C422-2512090162,5000
0RH4701C422-2512090161,5000
0RH4701C422-2512090160,5000
0RH4701C422-2512090159,5000
0RH4701C422-2512090158,5000
0RH4701C422-2512090157,5000
0RH4701C422-2512090156,5000
0RH4701C422-2512090155,5000
0RH4701C422-2512090154,5000
0RH4701C422-2512090153,5000
0RH4701C422-2512090152,5000
0RH4701C422-2512090151,5000
0RH4701C422-2512090122,5000
0RH4701C422-2512090123,5000
0RH4701C422-2512090124,5000
0RH4701C422-2512090125,5000
0RH4701C422-2512090126,5000
0RH4701C422-2512090150,5000
0RH4701C422-2512090149,5000
0RH4701C422-2512090148,5000
0RH4701C422-2512090147,5000
0RH4701C422-2512090146,5000
0RH4701C422-2512090145,5000
0RH4701C422-2512090144,5000
0RH4701C422-2512090143,5000
0RH4701C422-2512090142,5000
0RH4701C422-2512090141,5000
0RH4701C422-2512090140,5000
0RH4701C422-2512090139,5000
0RH4701C422-2512090138,5000
0RH4701C422-2512090137,5000
0RH4701C422-2512090136,5000
0RH4701C422-2512090135,5000
0RH4701C422-2512090134,5000
0RH4701C422-2512090133,5000
0RH4701C422-2512090132,5000
0RH4701C422-2512090131,5000
0RH4701C422-2512090130,5000
0RH4701C422-2512090129,5000
0RH4701C422-2512090128,5000
0RH4701C422-2512090127,5000
0RH4701C422-2512090121,5000
0RH4701C422-2512090120,5000
0RH4701C422-2512090119,5000
0RH4701C422-2512090118,5000
0RH4701C422-2512090117,5000
0RH4701C422-2512090116,5000
0RH4701C422-2512090115,5000
0RH4701C422-2512090114,5000
0RH4701C422-2512090113,5000
0RH4701C422-2512090112,5000
0RH4701C422-2512090111,5000
0RH4701C422-2512090110,5000
0RH4701C422-2512090109,5000
0RH4701C422-2512090108,5000
0RH4701C422-2512090107,5000
0RH4701C422-2512090106,5000
0RH4701C422-2512090105,5000
0RH4701C422-2512090104,5000
0RH4701C422-2512090103,5000
0RH4701C422-2512090102,5000
0RH4701C422-2512090101,5000
0RH4701C422-2512090100,5000
0RH4701C422-2512090099,5000
0RH4701C422-2512090098,5000
0RH4701C422-2512090097,5000
0RH4701C422-2512090096,5000
0RH4701C422-2512090095,5000
0RH4701C422-2512090094,5000
0RH4701C422-2512090093,5000
0RH4701C422-2512090092,5000
0RH4701C422-2512090091,5000
0RH4701C422-2512090090,5000
0RH4701C422-2512090089,5000
0RH4701C422-2512090088,5000
0RH4701C422-2512090087,5000
0RH4701C422-2512090086,5000
0RH4701C422-2512090085,5000
0RH4701C422-2512090084,5000
0RH4701C422-2512090083,5000
0RH4701C422-2512090082,5000
0RH4701C422-2512090081,5000
0RH1002C422-2601060200,5000
0RH1002C422-2601060199,5000
0RH1002C422-2601060198,5000
0RH1002C422-2601060197,5000
0RH1002C422-2601060196,5000
0RH1002C422-2601060195,5000
0RH1002C422-2601060194,5000
0RH1002C422-2601060193,5000
0RH1002C422-2601060192,5000
0RH1002C422-2601060191,5000
0RH1002C422-2601060190,5000
0RH1002C422-2601060189,5000
0RH1002C422-2601060188,5000
0RH1002C422-2601060187,5000
0RH1002C422-2601060186,5000
0RH1002C422-2601060185,5000
0RH1002C422-2601060184,5000
0RH1002C422-2601060183,5000
0RH1002C422-2601060182,5000
0RH1002C422-2601060181,5000
0RH1002C422-2601060180,5000
0RH1002C422-2601060179,5000
0RH1002C422-2601060178,5000
0RH1002C422-2601060177,5000
0RH1002C422-2601060176,5000
0RH1002C422-2601060175,5000
0RH1002C422-2601060174,5000
0RH1002C422-2601060173,5000
0RH1002C422-2601060172,5000
0RH1002C422-2601060171,5000
0RH1002C422-2601060170,5000
0RH1002C422-2601060169,5000
0RH1002C422-2601060168,5000
0RH1002C422-2601060167,5000
0RH1002C422-2601060166,5000
0RH1002C422-2601060165,5000
0RH1002C422-2601060164,5000
0RH1002C422-2601060163,5000
0RH1002C422-2601060162,5000
0RH1002C422-2601060161,5000
0RH1002C422-2601060160,5000
0RH1002C422-2601060159,5000
0RH1002C422-2601060158,5000
0RH1002C422-2601060157,5000
0RH1002C422-2601060156,5000
0RH1002C422-2601060155,5000
0RH1002C422-2601060154,5000
0RH1002C422-2601060153,5000
0RH1002C422-2601060152,5000
0RH1002C422-2601060151,5000
0RH1002C422-2601060150,5000
0RH1002C422-2601060149,5000
0RH1002C422-2601060148,5000
0RH1002C422-2601060147,5000
0RH1002C422-2601060146,5000
0RH1002C422-2601060145,5000
0RH1002C422-2601060144,5000
0RH1002C422-2601060143,5000
0RH1002C422-2601060142,5000
0RH1002C422-2601060141,5000
0RH1002C422-2601060140,5000
0RH1002C422-2601060139,5000
0RH1002C422-2601060138,5000
0RH1002C422-2601060137,5000
0RH1002C422-2601060136,5000
0RH1002C422-2601060135,5000
0RH1002C422-2601060134,5000
0RH1002C422-2601060133,5000
0RH1002C422-2601060132,5000
0RH1002C422-2601060131,5000
0RH1002C422-2601060130,5000
0RH1002C422-2601060129,5000
0RH1002C422-2601060128,5000
0RH1002C422-2601060127,5000
0RH1002C422-2601060126,5000
0RH1002C422-2601060125,5000
0RH1002C422-2601060124,5000
0RH1002C422-2601060123,5000
0RH1002C422-2601060122,5000
0RH1002C422-2601060121,5000
0RH1002C422-2601060120,5000
0RH1002C422-2601060119,5000
0RH1002C422-2601060118,5000
0RH1002C422-2601060117,5000
0RH1002C422-2601060116,5000
0RH1002C422-2601060115,5000
0RH1002C422-2601060114,5000
0RH1002C422-2601060113,5000
0RH1002C422-2601060112,5000
0RH1002C422-2601060111,5000
0RH1002C422-2601060110,5000
0RH1002C422-2601060109,5000
0RH1002C422-2601060108,5000
0RH1002C422-2601060107,5000
0RH1002C422-2601060106,5000
0RH1002C422-2601060105,5000
0RH1002C422-2601060104,5000
0RH1002C422-2601060103,5000
0RH1002C422-2601060102,5000
0RH1002C422-2601060101,5000
0RH1002C422-2601060100,5000
0RH1002C422-2601060099,5000
0RH1002C422-2601060098,5000
0RH1002C422-2601060097,5000
0RH1002C422-2601060096,5000
0RH1002C422-2601060095,5000
0RH1002C422-2601060094,5000
0RH1002C422-2601060093,5000
0RH1002C422-2601060092,5000
0RH1002C422-2601060091,5000
0RH1002C422-2601060090,5000
0RH1002C422-2601060089,5000
0RH1002C422-2601060088,5000
0RH1002C422-2601060087,5000
0RH1002C422-2601060086,5000
0RH1002C422-2601060085,5000
0RH1002C422-2601060084,5000
0RH1002C422-2601060083,5000
0RH1002C422-2601060082,5000
0RH1002C422-2601060081,5000
0RH1002C422-2601060080,5000
0RH1002C422-2601060079,5000
0RH1002C422-2601060078,5000
0RH1002C422-2601060077,5000
0RH1002C422-2601060076,5000
0RH1002C422-2601060075,5000
0RH1002C422-2601060074,5000
0RH1002C422-2601060073,5000
0RH1002C422-2601060072,5000
0RH1002C422-2601060071,5000
0RH1002C422-2601060070,5000
0RH1002C422-2601060069,5000
0RH1002C422-2601060068,5000
0RH1002C422-2601060067,5000
0RH1002C422-2601060066,5000
0RH1002C422-2601060065,5000
0RH1002C422-2601060064,5000
0RH1002C422-2601060063,5000
0RH1002C422-2601060062,5000
0RH1002C422-2601060061,5000
0RH1002C422-2601060060,5000
0RH1002C422-2601060059,5000
0RH1002C422-2601060058,5000
0RH1002C422-2601060057,5000
0RH1002C422-2601060056,5000
0RH1002C422-2601060055,5000
0RH1002C422-2601060054,5000
0RH1002C422-2601060053,5000
0RH1002C422-2601060052,5000
0RH1002C422-2601060051,5000
0RH1002C422-2601060050,5000
0RH1002C422-2601060049,5000
0RH1002C422-2601060048,5000
0RH1002C422-2601060047,5000
0RH1002C422-2601060046,5000
0RH1002C422-2601060045,5000
0RH1002C422-2601060044,5000
0RH1002C422-2601060043,5000
0RH1002C422-2601060042,5000
0RH1002C422-2601060041,5000
0RH1002C422-2601060040,5000
0RH1002C422-2601060039,5000
0RH1002C422-2601060038,5000
0RH1002C422-2601060037,5000
0RH1002C422-2601060036,5000
0RH1002C422-2601060035,5000
0RH1002C422-2601060034,5000
0RH1002C422-2601060033,5000
0RH1002C422-2601060032,5000
0RH1002C422-2601060031,5000
0RH1002C422-2601060030,5000
0RH1002C422-2601060029,5000
0RH1002C422-2601060028,5000
0RH1002C422-2601060027,5000
0RH1002C422-2601060026,5000
0RH1002C422-2601060025,5000
0RH1002C422-2601060024,5000
0RH1002C422-2601060023,5000
0RH1002C422-2601060022,5000
0RH1002C422-2601060021,5000
0RH1002C422-2601060020,5000
0RH1002C422-2601060019,5000
0RH1002C422-2601060018,5000
0RH1002C422-2601060017,5000
0RH1002C422-2601060016,5000
0RH1002C422-2601060015,5000
0RH1002C422-2601060014,5000
0RH1002C422-2601060013,5000
0RH1002C422-2601060012,5000
0RH1002C422-2601060011,5000
0RH1002C422-2601060010,5000
0RH1002C422-2601060009,5000
0RH1002C422-2601060008,5000
0RH1002C422-2601060007,5000
0RH1002C422-2601060006,5000
0RH1002C422-2601060005,5000
0RH1002C422-2601060004,5000
0RH1002C422-2601060003,5000
0RH1002C422-2601060002,5000
0RH1002C422-2601060001,5000
0RH1002C422-2512220040,5000
0RH1002C422-2512220039,5000
0RH1002C422-2512220038,5000
0RH1002C422-2512220037,5000
0RH1002C422-2512220036,5000
0RH1002C422-2512220035,5000
0RH1002C422-2512220034,5000
0RH1002C422-2512220033,5000
0RH1002C422-2512220032,5000
0RH1002C422-2512220031,5000
0RH1002C422-2512220030,5000
0RH1002C422-2512220029,5000
0RH1002C422-2512220028,5000
0RH1002C422-2512220027,5000
0RH1002C422-2512220026,5000
0RH1002C422-2512220025,5000
0RH1002C422-2512220024,5000
0RH1002C422-2512220023,5000
0RH1002C422-2512220022,5000
0RH1002C422-2512220021,5000
